 1/2017	 11/01/2017	 14/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Aprovada	 ao Senhor RIQUELMO BEDIN, Secretário da Secretaria de Saúde de Chapecó, ao Senhor ÉCIO BORDIGNON, Superintendente Regional do Oeste da CASAN, e ao Senhor ALEXANDRE ESTEFANI, Promotor de Justiça da 9ª Promotoria de Justiça da Comarca de Chapecó, para, considerando as informações abaixo explanadas, sejam convidados para participarem de Audiência Pública, a ser realizada no Plenário da Câmara de Vereadores em data e hora a ser definida previamente junto ao proponente do presente Requerimento. Nos Bairros Bela Vista e Parque das Palmeiras, nesta cidade de Chapecó, existem “respiros” ou “canos” que provém das tubulações subterrâneas de esgoto, ultrapassando o limite da calçada, chegando à altura aproximada de 2 a 5 metros, encerrando-se com uma curva curta e aberta. Referidas tubulações expelem odores desagradáveis, especialmente no período noturno. Tais “respiros” são chamados de dutos de esgoto. Ocorre que muitas vezes a situação fica insuportável, pois, especialmente no bairro Bela Vista, tais dutos chegam a espirrar dejetos, piorando o odor desagradável e colocando em risco a saúde pública. Aliás, uma das moradoras do Bairro Bela Vista chegou a apresentar reclamação ainda no ano de 2012, perante o Procon desta cidade, em face da empresa responsável por tais dutos, a CASAN - Companhia Catarinense de Água e Saneamento. A Reclamação foi autuada sob o número 26164. Adveio à referida Reclamação resposta da CASAN, na qual se depreende que todo o esgoto coletado nos bairros Cristo Rei e Bela Vista passa justamente pela rua na qual residem os moradores Reclamantes do Bairro Bela Vista, para então chegar à ETE – Estação de Tratamento de Esgoto. O espirro de dejetos e o mal cheiro, conforme a CASAN, advém em razão da formação de gases, e o problema foi agravado após a pavimentação daquela Rua, que teria LACRADO AS TAMPAS DE SISTEMA DE ESGOTO, acumulando ainda mais gás e fazendo que os dejetos espirrados sejam cada vez em maior quantidade. Na referida resposta, ainda, se depreende a alegação da CASAN de que estava tentando resolver o problema. porém, os moradores ainda permanecem na mesma situação, que tende a se agravar com a vinda do verão. A Reclamação supracitada foi arquivada pelo Procon, muito embora encerrada apenas com a promessa da CASAN em tentar amenizar o problema. São por essas razões que o vereador proponente apresenta este Requerimento, para fins de realização de Audiência Pública com as autoridades competentes para o fim de explanarem e encontrar soluções práticas para o problema acima relatado, do qual sofrem moradores especialmente do Bairro Parque das Palmeiras e Bela Vista. Termos em que, pede deferimento. 
 12/2017	 09/02/2017	 15/02/2017	 Vereador	 	»»CLEBER CECCON 	Aprovada 	
 13/2017	 09/02/2017	 13/02/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Retirada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta este ao plenário, e se aprovado, se envie ofício ao Senhor CEZAR FRANCISCO CIARINI – arquiteto, urbanista e idealizador e gestor do projeto Parque Chapecó e ao Senhor ALCIDES ZIGLIOLLI - Administrador e um dos Coordenadores do projeto Parque Chapecó, CONVIDANDO-OS para participar de uma Sessão Ordinária a ser realizada Nesta Casa, a fim de explanarem sobre o projeto “Construir um Parque para a Nossa Cidade” organizado pela Sociedade Amigos de Chapecó (SAC) . Dados divulgados pela imprensa de Chapecó, apontaram algumas das ações da Sociedade Amigos de Chapecó (SAC), que em 2017 comemora 50 anos. Dentre estas ações está o Projeto Chapecó 2030, trazendo ideias para melhorar e estimular nossa cidade. Informações preliminares também apresentam o projeto “Construir um Parque para a Nossa Cidade”, que surge a partir de demandas levantadas pelas comunidades, reivindicando a criação de ambientes adequados para a prática de lazer. Nesse caso, mais especificamente na região do Lajeado São José. Diante do exposto, justifica-se o convite. 
 14/2017	 09/02/2017	 11/05/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparados no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 
 15/2017	 09/02/2017	 10/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ ADERBAL ANTONIO P. DA SILVA ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO IVALDO PIZZINATTO JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA LUIZ PAULO CARARO MARCILEI ANDREA P. VIGNATTI MARCIO ERNANI SANDER NEURI LUIZ MANTELLI VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Retirada 	
 16/2017	 09/02/2017	 15/02/2017	 Vereador	 	»»DIEGO FERNANDO ALVES 	Aprovada 	
 17/2017	 14/02/2017	 16/02/2017	 Vereador	 	»»CLEBER CECCON 	Rejeitada	 ao Senhor NEMÉSIO CARLOS DA SILVA – Assessor Executivo do Prefeito Municipal de Chapecó, ao Senhor ROBERTO ZOLET – Contador Geral da Prefeitura Municipal de Chapecó, ao Senhor HILÁRIO KOLBA – Diretor de Gestão de Pessoal da Prefeitura Municipal de Chapecó, ao Senhor PEDRO MILTON GOLFE – Controladoria da Prefeitura Municipal de Chapecó, ao Senhor RICARDO CAVALLI – Procurador Geral da Prefeitura Municipal de Chapecó, ao Senhor MIGUEL ONOFRE – Presidente da ASSEMCHAP (Associação dos Servidores do Município de Chapecó), a Senhora VÂNIA BARCELLOS – Presidente do Sindicato dos Trabalhadores no Serviço Público Municipal de Chapecó e Região, CONVOCANDO-OS para uma REUNIÃO DE TRABALHO, a fim de discutir o Plano de Cargos, Carreira e Vencimentos (PCCV), para os Servidores Públicos do Município de Chapecó, bem como o reajuste salarial da categoria referente ao ano de 2017. A implementação e revisão do Plano de Cargos e Salários (PCCV) é uma luta histórica dos Servidores Públicos Municipais de Chapecó, através de sua representação Sindical. O Plano de Cargos, Carreira e Vencimentos (PCCV) é uma ação necessária que traria diversos benefícios tanto para os Servidores Públicos, tanto para a Administração Pública Municipal de Chapecó. Possibilitando melhor valorização, incentivo ao trabalho realizado pelos servidores, garantia e ampliação de direitos da categoria oferecendo maior segurança e qualificação ao Servidor. Termos em que pede deferimento. 
 18/2017	 14/02/2017	 17/02/2017	 Vereador	 	»»CLEBER CECCON 	Rejeitada 	
 19/2017	 15/02/2017	 17/02/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI ADERBAL ANTONIO P. DA SILVA ARESTIDE FIDELIS ASTRIT MARIA SAVARIS TOZZO CLAIMAR CESAR DE CONTO CLEBER CECCON CLEITON MARCIO FOSSÁ DERLI MAIER DIEGO FERNANDO ALVES ILDO ADÃO ANTONINI ITAMAR ANTONIO AGNOLETTO IVALDO PIZZINATTO JATIR JOSE BALBINOT JOÃO LUIS SIQUEIRA JOÃO MARIA MARQUES ROSA JOSE CELIO PORTELA LUIZ PAULO CARARO MARCIO ERNANI SANDER NEURI LUIZ MANTELLI VALDEMIR ANTONIO STOBE VALMOR JÚNIOR SCOLARI 	Aprovada 	
 20/2017	 15/02/2017	 17/02/2017	 Vereador	 	»»IVALDO PIZZINATTO 	Retirada 	
 21/2017	 16/02/2017	 24/03/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Retirada	 REQUERENDO-LHE: Para que, considerando as informações adiante explanadas, envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO o fato de que no ano de 2015 o Município de Chapecó lançou o programa “Acelerando o Desenvolvimento”, que dentre suas ações envolveu a total revitalização da Avenida Atílio Fontana e São Pedro. CONSIDERANDO que, em razão do fato de que a revitalização supracitada ocorreu em 2016 (ano passado), trata-se de obra extremamente recente. CONSIDERANDO que a pavimentação asfáltica, mesmo que sua mera “revitalização”, se trata de obra cuja qualidade deve ser suficiente para uma longa duração, não sendo razoável nem admissível sua curta durabilidade. CONSIDERANDO, por conseguinte, a existência do Edital de Concorrência nº 193/2016, que estranhamente tem por objeto o “Recapeamento asfáltico, drenagem e sinalização da Rua São Pedro, trecho entre as Ruas Rui Barbosa e Gal. Osório”, trecho este que já havia sido compreendido no programa “Acelerando o Desenvolvimento, REQUER: A) Seja informado todos os processos licitatórios lançados entre os anos de 2015 e 2016 que compreenderam o Programa “Acelerando o Desenvolvimento”, especialmente aqueles que envolveram a revitalização da Rua São Pedro. B) Sejam apresentados os relatórios de fiscalização do Município de Chapecó com relação à licitação que compreendeu o Programa “Acelerando o Desenvolvimento”, especialmente os atinentes à revitalização da Rua São Pedro. C) Sejam apresentados os dados técnicos, devidamente assinados pelo engenheiro ou agente responsável, em que conste os parâmetros de qualidade do asfalto objeto da licitação de revitalização da Rua São Pedro ocorrida em 2016, do “Programa Acelerando o Desenvlvimento”, e sua correspondência com o serviço efetivamente prestado pela empresa licitante. Adverte-se que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 22/2017	 16/02/2017	 20/02/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada 	
 23/2017	 20/02/2017	 24/02/2017	 Vereador	 	»»VALMOR JÚNIOR SCOLARI 	Aprovada	 ao Senhor ÊNIO BELLÉ, Presidente do Rotary Club São Cristóvão e ao Senhor LAURIMAR GIARETTA, Diretor do Jornal Folha do Bairro, CONVIDANDO-OS para comparecerem à Câmara Municipal, para apresentar o Projeto “EDUCAÇÃO, IDENTIDADE E AMANHÃ”. Através de uma parceria, o Jornal Folha do Bairro e o Rotary Club São Cristóvão desenvolveram um projeto que consistirá no desenvolvimento de atividades de redação e desenho, envolvendo estudantes do oitavo e nono ano das Escolas da Grande Efapi. O projeto tem como objetivo formar cidadãos conscientes e atuantes nas lideranças de comunidades, empresas, escolas e sociedade. O projeto foi selecionado no Edital dos 100 anos de Chapecó, como parte da programação oficial do Centenário. 
 24/2017	 20/02/2017	 21/02/2017	 Vereador	 	»»CLAIMAR CESAR DE CONTO 	Aprovada	 O(s) Vereador(es) que este subscreve(m), amparados no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 
 25/2017	 20/02/2017	 24/02/2017	 Vereador	 	»»MARCIO ERNANI SANDER 	Aprovada 	
 26/2017	 20/02/2017	 24/02/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Rejeitada	 O(s) Vereador(es) que este subscreve(m), amparados no Art. 5º, combinado com os artigos 23, inciso XIII do art. 34, art. 
 27/2017	 20/02/2017	 24/02/2017	 Vereador	 	»»VALMOR JÚNIOR SCOLARI 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor. Solicita(m) que após as tramitações Legais, Vossa Excelência submeta esta ao plenário, e se aprovado, seja encaminhado ofício ao Excelentíssimo Senhor RICARDO CAVALLI - Procurador do Município de Chapecó, Senhor FRANKLIN BRUN JR - Secretário Municipal de Planejamento, Senhor LUIZ ROBERTO TILLMANN - Diretor da Secretaria de Desenvolvimento Econômico e Turismo do Município de Chapecó, Senhor JOSIAS MASCARELLO - Presidente da Associação Comercial e Industrial de Chapecó, Senhor MARCOS ANTONIO BARBIEIRI – Presidente do Sindicato do Comércio Varejista de Chapecó (SICOM), Senhor CARLOS ROBERTO KLAUS - Presidente do Sindicato dos Hotéis Bares e Restaurantes e Similares de Chapecó – SIRBASCH, Senhora LIANARA MASETO TERRIBLE - Presidente da JCI - Câmara Júnior de Chapecó, promotora de eventos na área, Tenente Coronel HILTON DE SOUZA ZEFERINO - Comandante do 6º Batalhão do Corpo de Bombeiros de Chapecó, Senhor ENIO PARMEGIANI - Coordenador Regional do SEBRAE e, aos proprietários locais, CONVIDANDO-OS para participarem de uma REUNIÃO DE TRABALHO, visando dar andamento à discussão sobre a REGULAMENTAÇÃO DO FUNCIONAMENTO DE FOOD TRUCKS em Chapecó, tendo em vista a necessidade de se criar uma lei específica para regular este tipo de atividade econômica no Município. Em 17 de novembro de 2016, foi realizada no Auditório da Câmara Municipal, a primeira reunião de trabalho para discutir o estabelecimento de normas específicas que regulamentem o seu funcionamento dos food trucks no Município de Chapecó, atividade esta em ampla expansão. Na oportunidade, decidiu-se ampliar a representatividade do setor interessado e que na próxima reunião seria apresentada um esboço da legislação a ser discutida, a qual envolve vários aspectos importantes, dentre eles o aspecto jurídico, envolvendo poder de polícia, fiscalização, além de matérias de postura, trânsito, ambiental e sanitária. Ainda, deverão ser debatidos a questão da ocupação dos espaços, com a regulamentação dos locais possíveis de estacionamento e consequentemente, a elaboração de um projeto de lei que discipline o assunto, já que atualmente, existe apenas a lei que regulamenta o comércio ambulante. 
 28/2017	 21/02/2017	 06/03/2017	 Vereador	 	»»IVALDO PIZZINATTO 	Aprovada	 O(s) Vereador(es) que este subscreve(m), nos termos regimentais em vigor. Solicita(m) que após as tramitações Legais, Vossa Excelência submeta esta ao plenário, e se aprovado, seja encaminhado ofício a Senhora RAQUEL MARSHALL GADEA – Superintendente Regional do INSS – Região Sul, Praça Pereira Oliveira, 13 – 5º andar – sala 502 – Ed. IPASE – 88010-540 – Florianópolis – SC, Fones: (48) 3821 7100 / Fax: (48) 3821 7131, sr3@inss.gov.br, para que encaminhe a Esta Casa Legislativa, informações em números exatos de contribuintes beneficiados com auxílio-reclusão, que atualmente encontram-se cumprindo pena em penitenciárias/presídios do Estado de Santa Catarina. Termos em que pede deferimento. 
 29/2017	 20/02/2017	 06/03/2017	 Vereador	 	»»MARCILEI ANDREA P. VIGNATTI 	Aprovada	 O(s) Vereador(es) que subscreve(m), nos termos regimentais em vigor, solicitam que após as tramitações legais Vossa Excelência submeta esta ao plenário, e se aprovado, se envie ofício ao Senhor ÉCIO BORDIGNON - Superintendente Regional de Negócios Oeste da Companhia Catarinense de Águas e Saneamento (Casan) e ao Senhor DANIEL SCHARF – Chefe da Agência Chapecó da Casan, REQUERENDO-LHE: - Quando será instalado o reservatório no Bairro Efapi? - Quando será instalada a bomba de recalque para melhorar a vazão de água a fim de sanar a constante falta de água no Loteamento Zanrosso? - Em que fase encontra-se o Projeto de Transposição do Rio Chapecozinho? A falta de água no Loteamento Zanrosso, no bairro Efapi, é um problema antigo e ainda não solucionado. O tema já foi discutido nessa Casa Legislativa, sendo a mais recente ação, a reunião de trabalho realizada no dia 8 de dezembro de 2016, atendendo o requerimento 257/16, do vereador José Célio Portela. Na oportunidade, o chefe da Agência Chapecó da Casan, Daniel Scharf, relatou o que consta na ata: “o reservatório do bairro Efapi já tem estudo desde o ano de 2012, em acordo com os loteadores da região ficou acertada a cedência de uma área para instalação do reservatório, porém deve ser numa área alta que atenda toda as regiões. Disse que o orçamento para a instalação já está disponível, porém esbarra na dificuldade de encontrar o local ideal para a instalação. Quanto ao bairro Zanrosso, disse que além do reservatório da Efapi, será instalada uma bomba de recalque a fim de melhorar a vazão de água na comunidade”. Diante do exposto e das constantes cobranças que recebemos da comunidade a fim de que auxiliemos na resolução do problema, solicitamos que a Casan estipule prazos e resolva essa demanda que já é de conhecimento da Companhia há muitos anos. Termos que pede deferimento. 
 30/2017	 20/02/2017	 06/03/2017	 Vereador	 	»»CLEBER CECCON 	Rejeitada 	
 31/2017	 22/02/2017	 24/02/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Retirada	 e ao Senhor NEDIO CONCI, Secretário de Saúde de Chapecó REQUERENDO-LHE: Que, considerando as informações adiante explanadas, envie as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO a notícia do fim do terceiro turno nos postos de saúde dos bairros Belvedere, Cristo Rei e Santo Antônio, notícia esta advinda da Prefeitura Municipal e do Conselho Municipal de Saúde. CONSIDERANDO o fato de que, com o fim do terceiro turno, apenas o posto de saúde do Efapi e a UPA do Presidente Médici continuará em tais horários, locais estes que, sabe-se, já se encontram com alta demanda. CONSIDERANDO que o fim do terceiro turno fará com que a demanda nos demais locais aumente, e consequentemente, os problemas nas filas de espera e demora de atendimento. A) Sejam apresentados os estudos ou relatórios de demanda no terceiro turno das unidades de saúde dos Bairros Belvedere, Cristo Rei e Santo Antônio, dos três turnos em separado, de maneira que se possa comparar a demanda noturna das diurnas. B) Sejam apresentados os estudos de impacto da medida relativamente às demais unidades de saúde que passarão a absorver a demanda das unidades que terão o terceiro turno cancelado. Adverte-se que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 32/2017	 22/02/2017	 24/02/2017	 Vereador	 	»»CLEBER CECCON 	Aprovada	 REQUERENDO-LHE: Que preste informações: referente ao Concurso Público para provimento de cargo do Magistério do Município. Existe a necessidade urgente que seja realizado concurso público, para vaga de professores da rede Municipal de Ensino, pois todos os anos é necessário a contratação de professores ACTs e o último concurso com vaga para o cargo do magistério foi realizado em 31 de agosto de 2009. Neste sentido, fazendo uso das prerrogativas parlamentares, solicitamos as seguintes informações: 
 33/2017	 23/02/2017	 06/03/2017	 Vereador	 	»»CLEITON MARCIO FOSSÁ 	Rejeitada	 e ao Senhor IGOR ANTONIO GIROTTO, Secretário de Educação, para que, considerando as informações adiante explanadas, enviem as informações ao final solicitadas, tudo conforme adiante segue. CONSIDERANDO o início de mais um ano letivo, o qual já iniciou com problema de falta de vagas, problema este enfrentado ano a ano pelos pais de alunos. CONSIDERANDO que o direito à educação garante o direito à vaga nos colégios, escolas e CEIMs. CONSIDERANDO que a função do vereador não se restringe à legiferante, como também atua na função fiscalizatória, constituindo-se direito seu o de ter acesso às informações não só para tomar conhecimento da atual situação, como também contribuir para apontar soluções, REQUER, relativas aos CEIMs de Chapecó, as seguintes informações: a Seja apresentada relação atual de todos os CEIMs existentes em Chapecó, com o respectivo endereço e número de turmas, especificando a idade dos alunos por turma e o número de alunos por turma, por cada CEIM. b Sejam apresentadas as solicitações de vagas para o ano de 2017, seja em período integral, seja parcial, feitas a todos os CEIMs supracitados, não atendidas por qualquer razão, seja por falta de vaga, seja por observância de número de discentes/turma, mediante relação cronológica. c Caso haja pareceres de comissão, ou documentos semelhantes acerca de deferimento ou indeferimento das vagas referidas no item “a”, que também sejam apresentados na íntegra. d Seja apresentada cópia integral do edital ou documento similar de normatização de vagas nos CEIMs de 2017, caso houver. e Sejam apresentados os critérios adotados pelas Comissões de Matrícula para o ano de 2017, indicando inclusive quais são estas comissões e sua composição, na eventualidade de não estarem integralmente incluídos no edital supracitado. Adverte-se que, conforme a Lei Orgânica Municipal, sobretudo em seu artigo 34, inciso XIII, configura-se crime de responsabilidade a negativa de prestação de informações, e/ou prestação de informações extemporâneas ou incompletas. Termos em que, pede deferimento. 
 34/2017	 23/02/2017	 23/02/2017	 Vereador	 	»»CLEBER CECCON 	Retirada 	
